index,baseline survival
0.0,1.0
0.1,0.9970360086754319
0.1009,0.9969861500285049
0.1011,0.996936273118501
0.1023,0.9968863983511792
0.1036,0.9968365205630108
0.1042,0.9967865580418932
0.1062,0.9967365950281168
0.1075,0.9966866049268095
0.109,0.9966366151790604
0.1091,0.9965866036413413
0.1117,0.9965365788343031
0.1131,0.9964865501794707
0.1174,0.9964365154061265
0.1191,0.99638647540661
0.1208,0.9963364167991389
0.1229,0.9962859485506721
0.1242,0.9962354798408739
0.1244,0.9961850000468235
0.1265,0.9961344180558133
0.1276,0.9960834948489561
0.1287,0.9960325680098155
0.1289,0.9959816124070746
0.136,0.9959306356097997
0.1361,0.9958796042372695
0.1364,0.9958285285788389
0.1368,0.995777401951274
0.1385,0.995726250404121
0.1395,0.9956750908863546
0.1415,0.9956238907322673
0.1443,0.9955726714600307
0.1467,0.9955214089343982
0.1487,0.9954700949518392
0.1503,0.9953674392214238
0.1511,0.9953160615319349
0.1514,0.9952646782744944
0.1533,0.9952132849602198
0.1537,0.9951618860053854
0.155,0.9951104886324279
0.1557,0.9950587008323627
0.1566,0.9950067849590343
0.1577,0.9949548174582461
0.158,0.9948507746113866
0.1581,0.9947987147545261
0.1608,0.9947465987655857
0.1644,0.9946944458458179
0.1649,0.9946422830597335
0.1656,0.9945379197505251
0.1673,0.9944855552021954
0.1674,0.9944331633070408
0.1681,0.9943807687772389
0.1682,0.9943282540646391
0.1683,0.994275721093463
0.1695,0.9942231765872502
0.1703,0.9941706284617184
0.1711,0.9941178284718115
0.1738,0.9940650206631102
0.1745,0.9940122080459325
0.1746,0.9939593877087708
0.1761,0.9939065390279332
0.1782,0.9938536883323982
0.1785,0.9938007863813594
0.1805,0.9937478293611096
0.1882,0.9936948692835005
0.1886,0.9936418954280952
0.1889,0.9935889225340305
0.1891,0.9935359137423093
0.1906,0.9934827841464422
0.1923,0.9934296502374014
0.1939,0.9933765038068453
0.1947,0.9933233400778756
0.1949,0.9932701078943658
0.1977,0.9932168132546589
