Time,Baseline Target Cohort,No-Change Control,Onboarding Completion Improvement,Support Resolution Improvement,Product Adoption Expansion,Combined Retention Strategy,Service Friction Stress
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1999775,0.9372066156408388,0.9372066156408388,0.9535079911810428,0.9500909617348026,0.9439990034643373,0.9674928709733474,0.9058396511344522
0.399955,0.8919492778618353,0.8919492778618353,0.919094597540071,0.9121809138018175,0.9032009321710647,0.942050573746862,0.8436119615697691
0.5999325,0.8500065836689202,0.8500065836689202,0.8866395446032678,0.8761951347806756,0.8651159060969837,0.9173830321943899,0.7882127844560536
0.79991,0.8057442885714935,0.8057442885714935,0.8518155964077357,0.83750676808738,0.8246460038967858,0.890302606186614,0.7317383541448551
0.9998875,0.7704816450459607,0.7704816450459607,0.8236425015827417,0.8062247196624479,0.7921991776473285,0.8679832005626197,0.6880650516443273
1.199865,0.7395761989909021,0.7395761989909021,0.7986283452490778,0.7784956203562976,0.7636101855364252,0.8478816226452791,0.6506774537774946
1.3998425,0.7145661106525703,0.7145661106525703,0.7781598126756696,0.7558502151144464,0.7403699725883283,0.8312422374142796,0.620995928602057
1.59982,0.6913490633644938,0.6913490633644938,0.7589737431974897,0.7346672768983568,0.7187111158343387,0.8154935602898074,0.5938821206372542
1.7997975,0.6674127703736952,0.6674127703736952,0.7390028820601879,0.7126681938338224,0.6962947415091563,0.7989471504788705,0.5663561917787767
1.999775,0.6465985784105986,0.6465985784105986,0.7214764665138673,0.6934079250878551,0.6767298149695038,0.7842983190901349,0.5427636751026546
2.1997525,0.6256078366313294,0.6256078366313294,0.7036470107203395,0.6738620971847157,0.6569296618050704,0.769274465718425,0.519286935691621
2.39973,0.6049343528981543,0.6049343528981543,0.6859321875278342,0.6544922310943394,0.6373596110001651,0.7542259800750764,0.49646980276360114
2.5997075,0.5825340260442825,0.5825340260442825,0.6665599783694808,0.633370794328471,0.6160758480956702,0.7376313327246076,0.47208379744518103
2.799685,0.5689976028290133,0.5689976028290133,0.6547617677732727,0.6205397712783071,0.6031735097458836,0.7274538832273484,0.4575160851048868
2.9996625,0.5529736075386595,0.5529736075386595,0.6407040887906674,0.6052849621070513,0.5878597285622595,0.7152571410228985,0.4404349189319142
3.19964,0.5344064438832093,0.5344064438832093,0.6242886046376344,0.5875193721841591,0.5700595715918849,0.7009177109083368,0.42086461170118106
3.3996175,0.5193526240177586,0.5193526240177586,0.6108768837264954,0.5730442987827503,0.5555825098774193,0.6891241800239992,0.40517268500011216
3.599595,0.5015009408030471,0.5015009408030471,0.594850164955629,0.5557955876840586,0.5383610207200247,0.6749385632766456,0.3867687758710396
3.7995725,0.48751979763250153,0.48751979763250153,0.5822029852018068,0.5422228763584285,0.5248316310840959,0.6636725391647269,0.37251123477848214
3.99955,0.4701710028511682,0.4701710028511682,0.5663893213462373,0.5253019252208567,0.5079908267765344,0.6494959907100137,0.3550121101884219
