index,baseline cumulative hazard
0.0,0.0
0.1,0.0029683926459914303
0.1009,0.003018400763222922
0.1011,0.003068429700593197
0.1023,0.0031184589916087007
0.1036,0.0031684938161128263
0.1042,0.003218616150333492
0.1062,0.0032687414912004197
0.1075,0.0033188965223237697
0.109,0.0033690537143489458
0.1091,0.003419235286846481
0.1117,0.003469432693096684
0.1131,0.0035196364806138773
0.1174,0.0035698489290708095
0.1191,0.0036200691440701534
0.1208,0.0036703105576429114
0.1229,0.003720965663552734
0.1242,0.0037716237986070594
0.1244,0.003822295626738427
0.1265,0.003873072616172454
0.1276,0.003924194741456547
0.1287,0.003975323127097452
0.1289,0.004026483006633379
0.136,0.004077666784771057
0.1361,0.004128907983877641
0.1364,0.004180196280190108
0.1368,0.004231538392394453
0.1385,0.004282908167291721
0.1395,0.004334288586413419
0.1415,0.0043857124605491075
0.1443,0.004437158182403419
0.1467,0.004488649999036902
0.1487,0.004540196158294948
0.1503,0.004643324343035553
0.1511,0.004694942482715691
0.1514,0.0047465688814086505
0.1533,0.004798208050729005
0.1537,0.004849855554773097
0.155,0.00490150413677007
0.1557,0.004953547752308923
0.1566,0.005005722792488075
0.1577,0.005057952444293347
0.158,0.005162528335897032
0.1581,0.005214859017407121
0.1608,0.005267248866080745
0.1644,0.005319678587404708
0.1649,0.00537212097721076
0.1656,0.0054770519524504424
0.1673,0.0055297054771586045
0.1674,0.0055823892743184925
0.1681,0.005635078496742764
0.1682,0.005687891363792504
0.1683,0.005740725383883537
0.1695,0.0057935737976153616
0.1703,0.005846428644990815
0.1711,0.0058995396407672835
0.1738,0.00595266132294736
0.1745,0.0060057906646322915
0.1746,0.006058930596095108
0.1761,0.006112101869005554
0.1782,0.006165277996407671
0.1785,0.0062185085268890656
0.1805,0.0062717973066882555
0.1882,0.0063250920030916554
0.1886,0.00637840340592822
0.1889,0.006431716683478512
0.1891,0.006485068934697048
0.1906,0.006538545629140124
0.1923,0.006592029525193062
0.1939,0.006645528886930649
0.1947,0.006699048525688362
0.1949,0.006752639947301982
0.1977,0.006806297123850387
0.1989,0.006859970227211126
0.2057,0.006913657219720756
0.2066,0.006967346930132449
0.21,0.0070210424518070465
0.2121,0.007074885705792678
0.2128,0.007128741448597658
0.2136,0.007182674766901413
0.2154,0.007236891265759359
0.216,0.007291116642220041
0.2185,0.007345344674276771
0.2207,0.007399614405599467
0.2212,0.007453908084551269
0.2223,0.0075082148854904085
0.2279,0.007562541517604327
0.2293,0.007616952225849194
0.2354,0.00767138023963554
0.2372,0.007780378306237982
0.2381,0.007834895835021402
0.2446,0.007889443153704824
0.2455,0.007944005250825892
0.2486,0.007998601460667097
0.2488,0.008053214364885706
0.2493,0.008107831308573444
0.2515,0.008162499354678467
0.2538,0.00821719038888894
0.2568,0.008271892044354792
0.257,0.008326618489019442
0.2604,0.008381353481614685
0.2607,0.008436109440150523
0.2658,0.008490871449525652
0.2678,0.008546004533828602
0.2686,0.008601299529477892
0.2688,0.008656595431456237
0.271,0.008711936018934701
0.272,0.008767347524631444
0.2725,0.008822788734032062
0.2727,0.008878287775376541
0.2729,0.008933801070171598
0.2775,0.008989320071979962
0.2799,0.009044890327683157
0.282,0.009100486491394732
0.2836,0.009156156307709063
0.2844,0.009211834462084168
0.2853,0.00926762919018379
0.2883,0.009323432693488483
0.2906,0.009379268886466174
0.2922,0.009435149417539859
0.2924,0.009491126788599967
0.2934,0.009547109302509686
0.2953,0.009603104073272905
0.2968,0.00965912803047131
0.2986,0.009715164222037097
0.3021,0.009771345619712126
0.304,0.009827567092096987
0.3045,0.009940270691293813
0.3084,0.009996815930620488
0.3099,0.010053371121105605
0.3134,0.010109957924508329
0.3158,0.010166616308791798
0.3202,0.010223300231164653
0.3205,0.010279991431634597
0.3222,0.010336713584162157
0.3237,0.010393491879812868
0.3239,0.010450403775313968
0.3245,0.01050737753440139
0.3249,0.010564531961159243
0.326,0.01062171664175363
0.3264,0.010678927983096432
0.3265,0.010736210084396736
0.3322,0.01079354120424253
0.3357,0.010850881597917937
0.3412,0.010908271636026852
0.3413,0.01096573224879176
0.342,0.01102329049985505
0.3433,0.011080873028840208
0.3435,0.011138492072213986
0.3441,0.011196150295131681
0.3481,0.01131151486600807
0.3495,0.011369224234831632
0.3499,0.011426951186996355
0.3554,0.01154247551143128
0.3561,0.01160044309521235
0.3567,0.011658421037969435
0.3582,0.011716440487242753
0.3636,0.01177446721534429
0.3683,0.011832510039567909
0.3737,0.011890562674861948
0.3787,0.011948659060716718
0.3797,0.012006832353801905
0.3821,0.012065024777110162
0.3824,0.012123240995373756
0.3839,0.012181461825349167
0.3859,0.012239716747289341
0.3862,0.012298007002480535
0.3871,0.012356326259902115
0.3872,0.01241466900147345
0.3875,0.012473034320469529
0.388,0.012531463591811775
0.3884,0.012589897708797518
0.3898,0.012706775949295384
0.3902,0.012765282869587597
0.3909,0.01282379333075951
0.4002,0.012882658791869497
0.4015,0.012941706641739777
0.4018,0.013000779491349233
0.4054,0.0130598854963443
0.4064,0.013119120881392646
0.4071,0.013178365796813833
0.4072,0.01323767926454612
0.4078,0.013297006663549053
0.4092,0.013415696396484785
0.4097,0.013475100706156108
0.4144,0.01353451498964829
0.4158,0.013593983265614756
0.4175,0.01365353172440219
0.4202,0.0137130875727409
0.4241,0.013772689408268935
0.4308,0.013832397199166147
0.433,0.013892115082124764
0.4344,0.013951860217924343
0.4351,0.014011615476084389
0.4352,0.014071390596624864
0.4373,0.014131275527144773
0.4383,0.01419123972061996
0.4398,0.014251293147971739
0.44,0.01431142831520964
0.4422,0.014371575371823982
0.4427,0.014431744864105799
0.4503,0.014491932965116885
0.4513,0.014552143620727561
0.452,0.014612361713964442
0.4531,0.01467266762576837
0.4612,0.01473305993799488
0.4621,0.014793510987765497
0.4623,0.014854043166259438
0.4658,0.014914599026379765
0.4662,0.014975158316964266
0.468,0.015035808342719259
0.4705,0.015096479305447014
0.4711,0.015157156273976789
0.4719,0.015217911907466878
0.4773,0.015278688330983985
0.4775,0.015339515998833785
0.478,0.015400349714108096
0.4803,0.015461192190855757
0.4822,0.01552204555797746
0.4872,0.015583055964747105
0.488,0.01564412706303513
0.4886,0.015705308014890146
0.4891,0.01582774887666756
0.4895,0.01588903979771382
