Row_Index,Event_Time,Feature,Scaled_Schoenfeld_Residual
48,0.1,auto_renew_flag,-1.3465639063038901
77,0.1,auto_renew_flag,0.6299815386773754
91,0.1,auto_renew_flag,-1.173104744723425
154,0.1,auto_renew_flag,0.701047752132336
358,0.1,auto_renew_flag,0.765912579112292
632,0.1,auto_renew_flag,-1.2937519439318645
716,0.1,auto_renew_flag,-1.2211805387942836
747,0.1,auto_renew_flag,0.7228180071683031
785,0.1,auto_renew_flag,-1.2528017985895668
810,0.1,auto_renew_flag,-1.1997316606436446
937,0.1,auto_renew_flag,-1.3814292856309882
990,0.1,auto_renew_flag,0.6824783844801885
1033,0.1,auto_renew_flag,0.7591616050729519
1047,0.1,auto_renew_flag,-1.292968938976137
1121,0.1,auto_renew_flag,-1.338634536247092
1317,0.1,auto_renew_flag,0.6938201577772682
1430,0.1,auto_renew_flag,0.6536493978544562
1572,0.1,auto_renew_flag,0.7211879278932785
1605,0.1,auto_renew_flag,0.795714932276854
1609,0.1,auto_renew_flag,-1.2376037249750795
1677,0.1,auto_renew_flag,-1.3465384398120828
1835,0.1,auto_renew_flag,0.726395894630598
1997,0.1,auto_renew_flag,0.6384597116199585
2079,0.1,auto_renew_flag,-1.2439786964679627
2149,0.1,auto_renew_flag,0.6887940008070436
2349,0.1,auto_renew_flag,0.6315314321016422
2468,0.1,auto_renew_flag,0.6796445151772939
2629,0.1,auto_renew_flag,0.7215147180155101
3045,0.1,auto_renew_flag,-1.3014276567955396
3190,0.1,auto_renew_flag,-1.2817955561396372
3228,0.1,auto_renew_flag,-1.234021632829722
3310,0.1,auto_renew_flag,-1.3482946908374986
3639,0.1,auto_renew_flag,-1.267807484736808
3709,0.1,auto_renew_flag,0.8183426923025805
4005,0.1,auto_renew_flag,0.634070489560762
4025,0.1,auto_renew_flag,0.6671830322812029
4076,0.1,auto_renew_flag,0.8337630309101044
4088,0.1,auto_renew_flag,0.5272281227065033
4243,0.1,auto_renew_flag,-1.2806105949588282
4367,0.1,auto_renew_flag,-1.2901162287221382
4663,0.1,auto_renew_flag,0.7705528329191261
4731,0.1,auto_renew_flag,-1.2727339605442765
4831,0.1,auto_renew_flag,0.6506899595870494
4864,0.1,auto_renew_flag,-1.2919342142299683
5211,0.1,auto_renew_flag,0.7358404755847865
5218,0.1,auto_renew_flag,-1.2599130147210702
5228,0.1,auto_renew_flag,-1.1522900622385304
5336,0.1,auto_renew_flag,0.6075039637762966
5342,0.1,auto_renew_flag,0.7045059497176923
5366,0.1,auto_renew_flag,0.5440764735190273
5547,0.1,auto_renew_flag,-1.233064587256693
5714,0.1,auto_renew_flag,-1.215017684668909
5843,0.1,auto_renew_flag,0.76826664927525
5880,0.1,auto_renew_flag,0.7669993908581942
6047,0.1,auto_renew_flag,-1.2905319489809361
6163,0.1,auto_renew_flag,-1.4144180222383764
6234,0.1,auto_renew_flag,0.6656078194175333
6256,0.1,auto_renew_flag,0.6758098642549016
6271,0.1,auto_renew_flag,-1.1900017264369025
6416,0.1,auto_renew_flag,0.6780851181774755
6524,0.1,auto_renew_flag,-1.3088521761881162
6572,0.1,auto_renew_flag,-1.2783900395237995
6627,0.1,auto_renew_flag,-1.3559451441649084
6718,0.1,auto_renew_flag,0.8153414112678283
6836,0.1,auto_renew_flag,-1.2921505789921985
6843,0.1,auto_renew_flag,-1.3280012906237348
6889,0.1,auto_renew_flag,-1.312706392388383
6937,0.1,auto_renew_flag,0.8494167705489608
6963,0.1,auto_renew_flag,0.7927043728128135
7062,0.1,auto_renew_flag,0.7248133745674639
7117,0.1,auto_renew_flag,0.6331748713164282
7215,0.1,auto_renew_flag,0.695292606654314
7295,0.1,auto_renew_flag,0.5925777571160604
7375,0.1,auto_renew_flag,0.792662675080203
4445,0.1009,auto_renew_flag,0.5545304258620795
6326,0.1011,auto_renew_flag,0.5871445308300343
2053,0.1023,auto_renew_flag,0.6593977215192288
2895,0.1036,auto_renew_flag,-1.3174257055940184
5217,0.1042,auto_renew_flag,0.6154554629780017
1728,0.1062,auto_renew_flag,-1.322353861555916
4501,0.1075,auto_renew_flag,0.5812277499229791
2897,0.109,auto_renew_flag,0.6763455462357048
6446,0.1091,auto_renew_flag,0.5759333625847676
7138,0.1117,auto_renew_flag,0.5063880480839573
3322,0.1131,auto_renew_flag,-1.3970955615315142
1453,0.1174,auto_renew_flag,0.6406115030647426
2488,0.1191,auto_renew_flag,0.7242691523976902
6422,0.1208,auto_renew_flag,-1.3043972500661287
1419,0.1229,auto_renew_flag,0.5914826416064899
4118,0.1242,auto_renew_flag,0.5339723478687665
5236,0.1244,auto_renew_flag,-1.4049799658704476
5174,0.1265,auto_renew_flag,-1.4000370556774293
1901,0.1276,auto_renew_flag,0.6458398155431505
7423,0.1287,auto_renew_flag,0.6757141402034859
3996,0.1289,auto_renew_flag,0.5822504661072637
6386,0.136,auto_renew_flag,0.6348231192292871
362,0.1361,auto_renew_flag,-1.3706068024501146
2968,0.1364,auto_renew_flag,-1.4847021855279632
3981,0.1368,auto_renew_flag,0.6930484574200322
2215,0.1385,auto_renew_flag,0.41788278414879365
5543,0.1395,auto_renew_flag,0.6569492773752096
2277,0.1415,auto_renew_flag,0.6963361196335627
5661,0.1443,auto_renew_flag,-1.4437105190724702
2406,0.1467,auto_renew_flag,0.5258403812082237
1633,0.1487,auto_renew_flag,0.567408803205365
709,0.1503,auto_renew_flag,-1.3757031872529837
4133,0.1503,auto_renew_flag,0.6754186064735416
7472,0.1511,auto_renew_flag,0.5981465981672675
5408,0.1514,auto_renew_flag,0.5561126568439789
1188,0.1533,auto_renew_flag,0.5765120237486998
1964,0.1537,auto_renew_flag,0.4733513757595494
4149,0.155,auto_renew_flag,0.6168043427841297
249,0.1557,auto_renew_flag,-1.4244356843180679
6296,0.1566,auto_renew_flag,-1.3196675423800919
129,0.1577,auto_renew_flag,-1.5015435857666357
480,0.158,auto_renew_flag,0.5587343123477327
6537,0.158,auto_renew_flag,0.6632234138802114
348,0.1581,auto_renew_flag,-1.3990646553372252
3335,0.1608,auto_renew_flag,0.6079885210511436
4758,0.1644,auto_renew_flag,0.6923308284160907
4665,0.1649,auto_renew_flag,0.6016939875651233
1009,0.1656,auto_renew_flag,-1.3563147013819592
4001,0.1656,auto_renew_flag,0.6599234204834744
594,0.1673,auto_renew_flag,0.7002837469689128
534,0.1674,auto_renew_flag,0.5725799590170296
3934,0.1681,auto_renew_flag,-1.4659235740863872
2558,0.1682,auto_renew_flag,-1.3424767734983778
4612,0.1683,auto_renew_flag,0.6089907360045937
1961,0.1695,auto_renew_flag,-1.4610554729399676
4413,0.1703,auto_renew_flag,-1.5642966619209995
7046,0.1711,auto_renew_flag,0.6101316931219127
10,0.1738,auto_renew_flag,0.5163431733897823
4458,0.1745,auto_renew_flag,0.6484920611940282
2114,0.1746,auto_renew_flag,0.5232774579410209
33,0.1761,auto_renew_flag,0.5625244550570282
2561,0.1782,auto_renew_flag,-1.4188926707783598
6538,0.1785,auto_renew_flag,-1.3786132309916486
1905,0.1805,auto_renew_flag,0.5823606029647898
6900,0.1882,auto_renew_flag,0.5671239224737469
5321,0.1886,auto_renew_flag,0.5418053486767419
3415,0.1889,auto_renew_flag,0.7002081653454958
2284,0.1891,auto_renew_flag,0.5547094559420329
110,0.1906,auto_renew_flag,0.5902640872966534
5980,0.1923,auto_renew_flag,0.5658812139184741
4638,0.1939,auto_renew_flag,0.6072452826809012
4031,0.1947,auto_renew_flag,-1.3258695101684363
2161,0.1949,auto_renew_flag,-1.3731859179446144
7390,0.1977,auto_renew_flag,0.6915453743064683
5792,0.1989,auto_renew_flag,-1.464151922336755
5380,0.2057,auto_renew_flag,0.6258037223453803
3928,0.2066,auto_renew_flag,-1.466219581358916
2804,0.21,auto_renew_flag,-1.479445588791056
2721,0.2121,auto_renew_flag,0.64441425951098
436,0.2128,auto_renew_flag,0.6069866394324184
1616,0.2136,auto_renew_flag,-1.4231071602898344
3900,0.2154,auto_renew_flag,0.5852920694221971
5868,0.216,auto_renew_flag,0.4781590322172086
7058,0.2185,auto_renew_flag,0.6373962316555091
6302,0.2207,auto_renew_flag,0.5973554902500019
6607,0.2212,auto_renew_flag,0.5627642502385516
6815,0.2223,auto_renew_flag,-1.3870508719755914
887,0.2279,auto_renew_flag,-1.379361696812818
3829,0.2293,auto_renew_flag,0.6122628399341696
3810,0.2354,auto_renew_flag,0.5257411868635731
3003,0.2372,auto_renew_flag,0.42660318358426075
5306,0.2372,auto_renew_flag,0.589368801320078
4981,0.2381,auto_renew_flag,0.482461402749677
5565,0.2446,auto_renew_flag,0.6230843778381255
5894,0.2455,auto_renew_flag,0.5465134504215068
3080,0.2486,auto_renew_flag,-1.496187918050709
7075,0.2488,auto_renew_flag,0.5599238806373535
6786,0.2493,auto_renew_flag,-1.399784549678227
2905,0.2515,auto_renew_flag,-1.464747749263695
5487,0.2538,auto_renew_flag,0.5611625307616015
3524,0.2568,auto_renew_flag,0.6413057564628322
260,0.257,auto_renew_flag,-1.4292828223144385
4782,0.2604,auto_renew_flag,0.48691912778428026
2853,0.2607,auto_renew_flag,0.5967562518782511
5043,0.2658,auto_renew_flag,-1.5217392007192971
161,0.2678,auto_renew_flag,-1.4202577186057612
11,0.2686,auto_renew_flag,0.45557105228806066
1007,0.2688,auto_renew_flag,0.6378467341727845
5029,0.271,auto_renew_flag,0.7096990242062746
5995,0.272,auto_renew_flag,-1.3892008242293654
1779,0.2725,auto_renew_flag,0.4178620665159559
1343,0.2727,auto_renew_flag,0.6142079862108794
5557,0.2729,auto_renew_flag,0.5271807395426483
5430,0.2775,auto_renew_flag,0.6381283424811857
3545,0.2799,auto_renew_flag,-1.4557535585763184
5152,0.282,auto_renew_flag,0.6787199359614577
2482,0.2836,auto_renew_flag,0.5585740938613429
6554,0.2844,auto_renew_flag,0.7185355671472887
2022,0.2853,auto_renew_flag,0.6078146061675236
4550,0.2883,auto_renew_flag,0.48364404159334684
6819,0.2906,auto_renew_flag,0.44155968921948346
6928,0.2922,auto_renew_flag,0.7047823367679981
4152,0.2924,auto_renew_flag,0.5372579656806965
6592,0.2934,auto_renew_flag,0.5808118079135471
3119,0.2953,auto_renew_flag,0.5661293265420606
1432,0.2968,auto_renew_flag,0.5055498777490468
1195,0.2986,auto_renew_flag,-1.4897244835060512
2323,0.3021,auto_renew_flag,0.7001327190049602
5053,0.304,auto_renew_flag,-1.379322467417607
1658,0.3045,auto_renew_flag,-1.457054183166898
1885,0.3045,auto_renew_flag,-1.392480578875107
959,0.3084,auto_renew_flag,0.642307349787121
4171,0.3099,auto_renew_flag,-1.5064779009801237
3813,0.3134,auto_renew_flag,-1.3472896754924106
795,0.3158,auto_renew_flag,0.4590200222212855
3280,0.3202,auto_renew_flag,0.5534820776279789
520,0.3205,auto_renew_flag,-1.4946095575678815
1403,0.3222,auto_renew_flag,0.5315183927797186
1247,0.3237,auto_renew_flag,0.4230268133262456
2057,0.3239,auto_renew_flag,0.5502797633041757
2722,0.3245,auto_renew_flag,0.5616119385632959
6454,0.3249,auto_renew_flag,0.6240070329594053
4724,0.326,auto_renew_flag,0.6074531763166428
